大气科学, 0.6638655462184874, 0.6370967741935484, 0.6502057613168724
有机高分子材料, 0.8163265306122449, 0.5031446540880503, 0.622568093385214
特种医学, 0.5535714285714286, 0.6595744680851063, 0.6019417475728156
天文学, 0.8108108108108109, 0.8771929824561403, 0.8426966292134831
物理学, 0.6633165829145728, 0.5866666666666667, 0.6226415094339622
神经系统, 0.8592964824120602, 0.7808219178082192, 0.8181818181818181
生态学, 0.6464646464646465, 0.512, 0.5714285714285714
眼科学, 0.9813664596273292, 0.9132947976878613, 0.9461077844311377
影像医学与生物医学工程, 0.5870646766169154, 0.38436482084690554, 0.4645669291338583
康复医学, 0.7130434782608696, 0.5466666666666666, 0.6188679245283017
海洋工程, 0.925, 0.5799373040752351, 0.7129094412331406
老年医学, 0.723404255319149, 0.5513513513513514, 0.6257668711656442
力学, 0.421875, 0.45, 0.435483870967742
数学, 0.5852272727272727, 0.8583333333333333, 0.695945945945946
人工智能, 0.755, 0.4886731391585761, 0.5933202357563852
地质学, 0.745945945945946, 0.7976878612716763, 0.770949720670391
地理学, 0.7538461538461538, 0.6391304347826087, 0.6917647058823528
化学生物学, 0.5555555555555556, 0.41353383458646614, 0.47413793103448276
内分泌系统, 0.4954954954954955, 0.632183908045977, 0.5555555555555555
环境化学, 0.5188679245283019, 0.4230769230769231, 0.4661016949152542
矿业与冶金工程, 0.4878048780487805, 0.6666666666666666, 0.5633802816901409
地球物理学和空间物理学, 0.5783132530120482, 0.43243243243243246, 0.49484536082474223
循环系统, 0.639751552795031, 0.7686567164179104, 0.6983050847457628
消化系统, 0.6368159203980099, 0.6632124352331606, 0.6497461928934011
环境工程, 0.6407185628742516, 0.49537037037037035, 0.5587467362924281
计算机科学, 0.3882978723404255, 0.6759259259259259, 0.49324324324324326
放射医学, 0.6, 0.7777777777777778, 0.6774193548387097
生殖系统, 0.845771144278607, 0.8374384236453202, 0.8415841584158417
药理学, 0.0975609756097561, 0.23529411764705882, 0.13793103448275862
工程热物理与能源利用, 0.45454545454545453, 0.7692307692307693, 0.5714285714285714
地球化学, 0.7938144329896907, 0.7403846153846154, 0.7661691542288558
自动化, 0.5873015873015873, 0.5103448275862069, 0.5461254612546126
化学测量学, 0.6095238095238096, 0.5203252032520326, 0.5614035087719298
泌尿系统, 0.8557213930348259, 0.7543859649122807, 0.8018648018648018
化学理论与机制, 0.28346456692913385, 0.6101694915254238, 0.3870967741935483
免疫学, 0.10416666666666667, 0.14285714285714285, 0.12048192771084336
中西医结合, 0.8557213930348259, 0.5058823529411764, 0.6358595194085027
植物学, 0.5666666666666667, 0.6296296296296297, 0.5964912280701755
急重症医学, 0.635593220338983, 0.6, 0.6172839506172839
微生物学, 0.6020408163265306, 0.5539906103286385, 0.5770171149144255
中医学, 0.2702702702702703, 0.5555555555555556, 0.36363636363636365
合成化学, 0.36627906976744184, 0.5943396226415094, 0.45323741007194246
无机非金属材料, 0.4295774647887324, 0.22932330827067668, 0.29901960784313725
机械设计与制造, 0.47058823529411764, 0.7088607594936709, 0.5656565656565657
经济科学, 0.6666666666666666, 0.7111111111111111, 0.6881720430107527
皮肤及其附属器, 0.45, 0.34615384615384615, 0.3913043478260869
运动系统, 0.5538461538461539, 0.6545454545454545, 0.6000000000000001
海洋科学, 0.8387096774193549, 0.9285714285714286, 0.8813559322033899
宏观管理与政策, 0.5753424657534246, 0.4375, 0.4970414201183432
电子学与信息系统, 0.644927536231884, 0.5527950310559007, 0.5953177257525084
血液系统, 0.5517241379310345, 0.7441860465116279, 0.6336633663366337
材料化学与能源化学, 0.18571428571428572, 0.65, 0.28888888888888886
管理科学与工程, 0.4603174603174603, 0.5686274509803921, 0.5087719298245614
呼吸系统, 0.3157894736842105, 0.4, 0.35294117647058826
半导体科学与信息器件, 0.23076923076923078, 0.4444444444444444, 0.30379746835443033
工商管理, 0.25, 0.4583333333333333, 0.3235294117647059
医学病原生物与感染, 0.16666666666666666, 0.5, 0.25
水利工程, 0.11764705882352941, 0.6666666666666666, 0.2
生物物理与生物化学, 0.22580645161290322, 0.7, 0.3414634146341463
建筑与土木工程, 0.25, 0.8, 0.38095238095238093
中药学, 0.16279069767441862, 0.4666666666666667, 0.24137931034482765
光学和光电子学, 0.08695652173913043, 0.2222222222222222, 0.125
肿瘤学, 0.12121212121212122, 0.2857142857142857, 0.1702127659574468
金属材料, 0.010869565217391304, 0.05555555555555555, 0.018181818181818184
